"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
24,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,6,6,6
25,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,2606,1053,1542
25,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,342,102,179
25,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,236,61,106
25,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,431,215,300
25,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,116,47,74
25,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,36,19,21
25,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,151,86,101
25,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,81,45,60
25,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,30,11,15
25,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,46,24,27
25,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,12,11,12
25,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,4,2,2
26,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,828,349,486
26,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,108,40,64
26,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,103,25,36
26,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,125,74,91
26,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,103,43,79
26,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,8,6,6
26,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,108,82,88
26,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,50,34,38
26,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,23,15,15
26,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,76,61,62
26,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,6,6,6
26,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,2,2,2
27,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1074,434,597
27,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,326,116,193
27,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,300,89,114
27,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,206,142,154
27,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,87,43,65
27,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,91,57,60
27,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,211,166,175
27,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,91,64,77
