taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     313,         9.4202,        11.9542,         9.5661,        12.1396,              0,              0,         0.6073,         2.3470,         3.0866,         5.6478
     314,         9.8451,        12.3774,         9.9909,        12.5654,         3.3979,         5.8450,         3.4041,         5.8514,         5.7549,         8.1140
     315,         9.8495,        12.3669,         9.9710,        12.5342,         3.3346,         5.7200,         3.3800,         5.7010,         6.3029,         8.8157
     316,         9.8712,        12.3845,        10.0108,        12.5703,         4.1852,         6.6696,         4.2600,         6.6974,         5.6399,         8.0584
     317,         9.7636,        12.2715,         9.8829,        12.4398,         3.4980,         5.9122,         3.5556,         5.9232,         5.5851,         8.0150
     318,         9.7262,        12.2187,         9.8358,        12.3810,         3.1780,         5.5848,         3.2620,         5.6224,         4.9086,         6.7591
     319,         9.6618,        12.1525,         9.7634,        12.3071,         1.2286,         3.2785,         1.2721,         3.3450,         4.2842,         6.2498
     320,         9.6150,        12.1297,         9.7180,        12.2794,         0.8217,         2.6718,         0.8614,         2.7590,         4.7894,         6.6126
     321,         9.6494,        12.1634,         9.7473,        12.3114,         2.0351,         4.0059,         2.0637,         4.0394,         4.5781,         6.3589
     322,         9.6971,        12.2241,         9.8047,        12.3780,         2.0857,         3.9401,         2.1105,         3.9722,         4.0158,         6.5268
     323,         9.7389,        12.2655,         9.8690,        12.4390,         2.5590,         4.9150,         2.5622,         4.9011,         5.8795,         7.3028
     324,         9.7775,        12.3075,         9.9042,        12.4743,         2.7548,         5.0031,         2.7580,         4.9927,         5.7833,         7.2729
     325,         9.6919,        12.2091,         9.8027,        12.3680,         2.2443,         4.6382,         2.2560,         4.6346,         5.2742,         6.8440
     326,         9.7835,        12.3054,         9.8984,        12.4653,         3.3426,         5.9642,         3.3471,         5.9626,         6.0961,         8.1726
     327,         9.6676,        12.2340,         9.8168,        12.4174,         3.3417,         5.9700,         3.3422,         5.9638,         4.3711,         6.8513
     328,         9.7096,        12.2733,         9.8620,        12.4604,         2.6034,         5.1848,         2.6410,         5.2278,         4.4230,         6.8691
     329,         9.6959,        12.2488,         9.8489,        12.4394,         2.1314,         4.5920,         2.1672,         4.6338,         4.6758,         7.4158
     330,         9.7621,        12.3238,         9.9246,        12.5213,         1.4513,         3.8111,         1.5318,         3.8907,         4.4220,         6.6444
     331,         9.6332,        12.2142,         9.8725,        12.4904,         2.5107,         5.3378,         2.6042,         5.4513,         3.1162,         7.8455
     332,         9.6930,        12.2734,         9.8890,        12.5043,         3.2193,         6.1051,         3.3187,         6.2201,         4.0779,         6.8319
