zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
500,0.005,0.095,0.095,0.095,0.095,0.095
501,0.005,0.095,0.095,0.095,0.095,0.095
502,0.005,0.095,0.095,0.095,0.095,0.095
503,0.005,0.095,0.095,0.095,0.095,0.095
504,0.005,0.095,0.095,0.095,0.095,0.095
505,0.005,0.095,0.095,0.095,0.095,0.095
506,0.005,0.095,0.095,0.095,0.095,0.095
507,0.005,0.095,0.095,0.095,0.095,0.095
508,0.005,0.095,0.095,0.095,0.095,0.095
509,0.005,0.095,0.095,0.095,0.095,0.095
510,0.005,0.095,0.095,0.095,0.095,0.095
511,0.005,0.095,0.095,0.095,0.095,0.095
512,0.005,0.095,0.095,0.095,0.095,0.095
513,0.005,0.095,0.095,0.095,0.095,0.095
514,0.005,0.095,0.095,0.095,0.095,0.095
515,0.005,0.095,0.095,0.095,0.095,0.095
516,0.005,0.095,0.095,0.095,0.095,0.095
517,0.005,0.095,0.095,0.095,0.095,0.095
518,0.005,0.095,0.095,0.095,0.095,0.095
519,0.005,0.095,0.095,0.095,0.095,0.095
520,0.005,0.095,0.095,0.095,0.095,0.095
521,0.005,0.095,0.095,0.095,0.095,0.095
522,0.005,0.095,0.095,0.095,0.095,0.095
523,0.005,0.095,0.095,0.095,0.095,0.095
524,0.005,0.095,0.095,0.095,0.095,0.095
